Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Lahiru Udara,Nondescripts Cricket Club,10,17,908,60.53,86.39,3,3,261
Pawantha Weerasinghe,Ace Capital Cricket Club,10,19,872,45.89,67.8,2,8,121
Ashen Bandara,Police Sports Club,10,16,851,53.19,68.51,3,4,200
Dinesh Chandimal,Colts Cricket Club,9,13,849,65.31,89.46,3,3,152
Pavan Rathnayaka,Colombo Cricket Club,9,12,810,73.64,83.41,3,4,221
Kasun Vidura,Chilaw Marians Cricket Club,9,16,762,63.5,50.23,2,4,200*
Ravindu Fernando,Bloomfield Cricket and Athletic Club,10,16,701,53.92,81.6,3,1,103*
Dilshan De Zoysa,Badureliya Sports Club,8,15,698,53.69,49.89,2,3,145
Pasindu Sooriyabandara,Moors Sports Club,10,14,687,57.25,61.66,2,3,204*
Kamil Mishara,Nondescripts Cricket Club,7,10,680,75.56,78.79,2,3,187*
Ramesh Mendis,Moors Sports Club,10,13,676,67.6,61.79,1,3,160*
Pramod Maduwantha,Burgher Recreation Club,10,13,668,60.73,45.56,3,2,166
Sarujan Sammuganathen,Tamil Union Cricket and Athletic Club,9,14,663,66.3,50.45,3,3,123
Janith Liyanage,Bloomfield Cricket and Athletic Club,7,11,636,63.6,72.35,3,2,136
Priyamal Perera,Police Sports Club,10,16,632,45.14,65.76,2,2,212
Dhananjaya De Silva,Colombo Cricket Club,7,9,629,78.63,70.75,2,3,204
Ranesh Silva,Ace Capital Cricket Club,10,19,627,36.88,67.93,0,4,88
Nishan Madushka,Colombo Cricket Club,9,14,619,56.27,58.45,1,5,183
Chamika Karunaratne,Nondescripts Cricket Club,9,12,616,77,84.61,2,4,125*
Lakshan Edirisinghe,Kurunegala Youth Cricket Club,9,15,606,46.62,53.86,1,3,116
Lasith Croospulle,Colombo Cricket Club,9,14,579,41.36,101.04,2,1,155
Sammu Ashan,Chilaw Marians Cricket Club,8,13,564,47,58.32,3,1,146
Minod Banuka,Tamil Union Cricket and Athletic Club,9,13,563,43.31,66.23,1,4,173
Hashan Dumindu,Burgher Recreation Club,9,12,553,55.3,51.15,2,2,163
Anjala Bandara,Colombo Cricket Club,9,13,551,78.71,60.28,2,0,200*
Navod Paranavithana,Tamil Union Cricket and Athletic Club,8,13,536,41.23,56.24,2,0,152
Ron Chandraguptha,Bloomfield Cricket and Athletic Club,10,17,536,31.53,70.89,0,3,80
Sachitha Jayathilake,Tamil Union Cricket and Athletic Club,9,15,529,40.69,74.82,1,3,102
Oshada Fernando,Panadura Sports Club,9,14,522,40.15,60.76,2,0,128
Sangeeth Cooray,Colts Cricket Club,9,14,508,39.08,53.24,0,6,69
Thanuka Dabare,Chilaw Marians Cricket Club,9,16,508,31.75,85.09,0,4,91
Gayan Maneeshan,Kurunegala Youth Cricket Club,8,13,507,42.25,68.88,2,1,160
Manoj Sarathchandra,Kurunegala Youth Cricket Club,9,15,507,36.21,52.86,0,5,82*
Sohan De Livera,Moors Sports Club,10,14,496,35.43,84.35,1,2,139
Niroshan Dickwella,Nondescripts Cricket Club,9,13,495,41.25,95,1,4,126
Raminda Wijesooriya,Burgher Recreation Club,10,12,485,40.42,86.29,0,4,80
Wanuja Sahan ,Ace Capital Cricket Club,10,17,484,28.47,73.44,2,1,153
Angelo Mathews,Colts Cricket Club,5,7,480,96,65.84,1,3,144
Ahan Wickramasinghe,Nondescripts Cricket Club,10,15,475,33.93,78.38,1,2,102
Muditha Lakshan,Colts Cricket Club,9,12,457,45.7,85.74,0,6,69
Sonal Dinusha,Colombo Cricket Club,10,12,437,39.73,67.23,1,3,121
Ravindu Rashantha,Colts Cricket Club,10,14,437,33.62,44.23,2,1,126
Akram Muthalib,Nugegoda Sports and Welfare Club,9,13,433,43.3,56.82,0,5,70
Vishwa Chathuranga,Panadura Sports Club,9,13,425,32.69,59.1,1,2,111
Raveen De Silva,Ace Capital Cricket Club,9,14,424,60.57,46.13,0,3,68
Dulash Udayanga,Police Sports Club,9,16,422,32.46,45.67,0,3,94
Dhanuja Induwara,Police Sports Club,8,13,421,32.38,56.58,0,3,76
Shehan Fernando,Moors Sports Club,10,14,415,31.92,54.03,0,5,77
Milan Rathnayake,Moors Sports Club,9,10,409,51.13,62.82,1,2,136
Dhananjaya Lakshan,Colts Cricket Club,9,13,391,35.55,72.67,0,2,79
Nimesh Gunasinghe,Ace Capital Cricket Club,9,16,387,24.19,49.87,1,1,161
Heshan Fernando,Burgher Recreation Club,9,13,386,29.69,48.25,1,1,114
Nipun Karunanayake ,Bloomfield Cricket and Athletic Club,10,15,382,27.29,50.46,1,2,138
Kanchana De Livera,Panadura Sports Club,8,11,372,37.2,59.8,0,4,79
Sadeera Samarawickrama,Moors Sports Club,9,12,371,30.92,64.86,0,2,81
Geeth Kumara,Badureliya Sports Club,7,11,370,46.25,43.89,1,1,185
T M Sampath,Nugegoda Sports and Welfare Club,8,12,368,36.8,48.23,1,1,129*
Asitha Wanninayake,Bloomfield Cricket and Athletic Club,8,13,364,30.33,54.57,0,2,64
Kavindu Kulasekara,Ace Capital Cricket Club,8,13,363,33,45.09,0,3,61
Lohan De Zoysa,Nugegoda Sports and Welfare Club,9,16,359,23.93,40.61,1,2,101
Pathum Kumara,Nugegoda Sports and Welfare Club,8,12,349,34.9,58.16,1,2,121*
Roshan Wijenayake ,Badureliya Sports Club,7,11,344,38.22,45.02,0,4,57*
Tharindu Amarasinghe,Chilaw Marians Cricket Club,6,10,344,34.4,68.66,0,2,88
Kavin Bandara,Nondescripts Cricket Club,8,11,343,34.3,59.75,1,2,102
Kevin Perera,Nugegoda Sports and Welfare Club,9,14,341,26.23,58.09,0,2,54
Dushan Vimukthi,Panadura Sports Club,9,12,340,30.91,43.36,0,2,57
Sameera Sadamal,Kurunegala Youth Cricket Club,9,15,335,23.93,52.26,1,0,106
Lasith Lakshan,Chilaw Marians Cricket Club,8,15,335,22.33,59.92,0,3,89
