Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
1,Lahiru Udara,Nondescripts Cricket Club,380.4938,0.1987,0.98,1.8987,1.0,0.4249,0.9965,0.6428,0.8305
2,Ranesh Silva,Ace Capital Cricket Club,221.1531,0.4316,0.841,0.6849,0.576,0.9231,0.8221,0.409,0.6819
3,Ashen Bandara,Police Sports Club,305.4553,0.0381,0.9028,1.323,0.8003,0.0815,0.8996,0.5319,0.6411
4,Ravindu Fernando,Bloomfield Cricket and Athletic Club,293.3037,0.0313,0.9128,1.3301,0.768,0.067,0.9121,0.5332,0.6286
5,Kamil Mishara,Nondescripts Cricket Club,313.8097,0.0314,0.7466,1.8318,0.8225,0.0671,0.7035,0.6299,0.6128
6,Pawantha Weerasinghe,Ace Capital Cricket Club,266.8188,0.0428,0.9828,0.7362,0.6975,0.0916,1.0,0.4189,0.6102
7,Pasindu Sooriyabandara,Moors Sports Club,293.0312,0.0198,0.8355,1.6893,0.7673,0.0424,0.8152,0.6025,0.6095
8,Pavan Rathnayaka,Colombo Cricket Club,302.7841,0.0282,0.791,1.6615,0.7932,0.0604,0.7593,0.5971,0.6088
9,Kasun Vidura,Chilaw Marians Cricket Club,279.1588,0.0207,0.9055,1.154,0.7303,0.0443,0.903,0.4993,0.6017
10,Niroshan Dickwella,Nondescripts Cricket Club,266.8291,0.0626,0.8583,1.0072,0.6975,0.1338,0.8437,0.4711,0.5874
11,Priyamal Perera,Police Sports Club,245.5435,0.0629,0.9028,0.863,0.6409,0.1345,0.8996,0.4433,0.5746
12,Oshada Fernando,Panadura Sports Club,253.7716,0.0754,0.841,0.8774,0.6628,0.1612,0.8221,0.446,0.5698
13,Angelo Mathews,Colts Cricket Club,320.1718,0.0263,0.4114,3.7532,0.8395,0.0562,0.2827,1.0,0.5677
14,Dinesh Chandimal,Colts Cricket Club,292.5807,0.0649,0.6148,1.8974,0.7661,0.1387,0.5381,0.6425,0.5651
15,Nipun Karunanayake,Bloomfield Cricket and Athletic Club,232.2028,0.0267,0.9228,0.8026,0.6054,0.0572,0.9247,0.4316,0.5495
16,Sohan De Livera,Moors Sports Club,238.9934,0.0522,0.8655,0.7803,0.6235,0.1116,0.8528,0.4273,0.549
17,Dhananjaya Lakshan,Colts Cricket Club,248.258,0.0205,0.8255,1.2034,0.6481,0.0437,0.8026,0.5088,0.545
18,Pramod Maduwantha,Burgher Recreation Club,255.0686,0.0365,0.7238,1.4419,0.6662,0.0782,0.6749,0.5548,0.5341
19,Ron Chandraguptha,Bloomfield Cricket and Athletic Club,231.8141,0.02,0.8783,0.5577,0.6044,0.0427,0.8688,0.3845,0.5252
20,Minod Banuka,Tamil Union Cricket and Athletic Club,237.0563,0.0485,0.7638,0.9292,0.6183,0.1037,0.7251,0.456,0.5177
21,Ramesh Mendis,Moors Sports Club,239.6782,0.0143,0.7783,1.1413,0.6253,0.0305,0.7433,0.4969,0.5166
22,Sithara Gimhana,Moors Sports Club,183.9333,0.1724,0.8183,0.3645,0.4769,0.3687,0.7935,0.3472,0.515
23,Janith Liyanage,Bloomfield Cricket and Athletic Club,277.3766,0.0243,0.6003,1.4538,0.7256,0.0519,0.5199,0.5571,0.5142
24,Lasith Croospulle,Colombo Cricket Club,254.2275,0.0233,0.7293,0.9169,0.664,0.0499,0.6818,0.4537,0.5141
25,Dhananjaya De Silva,Colombo Cricket Club,280.9372,0.0363,0.4314,2.8032,0.7351,0.0776,0.3078,0.817,0.509
26,Anjala Bandara,Colombo Cricket Club,262.2256,0.0215,0.5976,1.7923,0.6853,0.0459,0.5165,0.6223,0.5057
27,Sahan Kosala,Colombo Cricket Club,250.0368,0.0248,0.6921,1.08,0.6528,0.0531,0.6351,0.4851,0.5033
28,Parvez Rasool,Badureliya Sports Club,180.4162,0.4676,0.2579,1.7413,0.4676,1.0,0.09,0.6125,0.5014
29,Samarth Seth,Panadura Sports Club,177.995,0.4611,0.2307,2.1963,0.4611,0.9862,0.0558,0.7001,0.5007
30,Navod Paranavithana,Tamil Union Cricket and Athletic Club,217.0468,0.032,0.7838,0.6719,0.5651,0.0684,0.7502,0.4065,0.4882
31,Sahan Arachchige,Nondescripts Cricket Club,215.7785,0.0173,0.781,0.8981,0.5617,0.0371,0.7468,0.45,0.4863
32,Sangeeth Cooray,Colts Cricket Club,206.8895,0.0128,0.8455,0.4939,0.538,0.0274,0.8277,0.3722,0.4834
33,Shevon Daniel,Sinhalese Sports Club,252.843,0.0194,0.5231,2.0948,0.6603,0.0416,0.4229,0.6805,0.4803
34,Kavin Bandara,Nondescripts Cricket Club,224.9049,0.0312,0.6793,1.1478,0.586,0.0667,0.619,0.4981,0.4772
35,Sonal Dinusha,Colombo Cricket Club,204.781,0.0075,0.6593,2.3311,0.5324,0.0161,0.5939,0.7261,0.4736
36,Lakshan Edirisinghe,Kurunegala Youth Cricket Club,209.8235,0.0165,0.7938,0.5275,0.5458,0.0353,0.7628,0.3787,0.4729
37,Thanuka Dabare,Chilaw Marians Cricket Club,195.6488,0.0249,0.8438,0.2392,0.5081,0.0533,0.8255,0.3231,0.4687
38,Janishka Perera,Moors Sports Club,217.1446,0.0211,0.7066,0.7493,0.5653,0.0451,0.6532,0.4214,0.4617
39,Shehan Fernando,Moors Sports Club,182.8679,0.021,0.8483,0.441,0.4741,0.0449,0.8312,0.362,0.4607
40,Ahan Wickramasinghe,Nondescripts Cricket Club,180.1955,0.0258,0.8655,0.2231,0.467,0.0552,0.8528,0.32,0.4591
41,T M Sampath,Nugegoda Sports and Welfare Club,179.5067,0.0212,0.8683,0.2463,0.4652,0.0453,0.8563,0.3245,0.4579
42,Nishan Madushka,Colombo Cricket Club,215.62,0.0134,0.6921,0.6911,0.5613,0.0287,0.6351,0.4102,0.4505
43,Geeth Kumara,Badureliya Sports Club,194.1259,0.0225,0.7393,0.6257,0.5041,0.048,0.6944,0.3976,0.4445
44,Roshan Wijenayake,Badureliya Sports Club,239.3823,0.0159,0.4169,2.1352,0.6245,0.034,0.2896,0.6883,0.4323
45,Gayan Maneeshan,Kurunegala Youth Cricket Club,207.9712,0.0177,0.6648,0.5464,0.5409,0.0379,0.6009,0.3823,0.4315
46,Irosh Samarasooriya,Panadura Sports Club,190.8962,0.0267,0.7021,0.5694,0.4955,0.0572,0.6476,0.3867,0.4295
47,Akram Muthalib,Nugegoda Sports and Welfare Club,172.04,0.2304,0.4414,0.9845,0.4453,0.4928,0.3203,0.4667,0.4268
48,Asitha Wanninayake,Bloomfield Cricket and Athletic Club,183.6403,0.0197,0.7193,0.5241,0.4762,0.0421,0.6693,0.378,0.4229
49,Himasha Liyanage,Ace Capital Cricket Club,184.4521,0.0288,0.7193,0.3463,0.4783,0.0615,0.6693,0.3438,0.4225
50,Kevin Perera,Nugegoda Sports and Welfare Club,159.9578,0.0207,0.821,0.2038,0.4131,0.0442,0.797,0.3163,0.4208
51,Sanoj Darshika,Colts Cricket Club,177.298,0.0466,0.6966,0.4828,0.4593,0.0996,0.6407,0.37,0.4193
52,Raminda Wijesooriya,Burgher Recreation Club,193.2516,0.0186,0.6421,0.7853,0.5017,0.0398,0.5723,0.4283,0.416
53,Wanuja Sahan,Ace Capital Cricket Club,141.6748,0.0138,0.9128,-0.2087,0.3645,0.0295,0.9121,0.2368,0.4152
